"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"500","It's the start of #MentalHealthAwarenessWeek <f0><U+009F><U+0092><U+009A>

We will be sharing daily #video updates as the team get #active wit… https://t.co/LZi2VoK9yL",FALSE,2,NA,2020-05-18 12:30:36,TRUE,NA,"1262359936073433088",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","LearningBoxed",0,FALSE,FALSE,NA,NA
"501","<f0><U+009F><U+008E><U+0089>It’s Monday!!!!!!!! 

<f0><U+009F><U+0092><U+0097>I hope everyone had a blessed and relaxing weekend! I took some time away from social media… https://t.co/uZI5rGtOG9",FALSE,16,NA,2020-05-18 12:18:58,TRUE,NA,"1262357006335250434",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BrittanyWentt",0,FALSE,FALSE,NA,NA
"502","RT @SussexHealth: @SussexHealth is trialing @Motitech_UK which enables older people and people with dementia to be physically active and im…",FALSE,0,NA,2020-05-18 12:18:35,FALSE,NA,"1262356909044137984",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Matt_motitech",1,TRUE,FALSE,NA,NA
"503","I know you’re #busy, but your #active now status and still me not getting a reply #separates me #apart",FALSE,0,NA,2020-05-18 12:11:40,FALSE,NA,"1262355169473441794",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MrSahilDavda",0,FALSE,FALSE,NA,NA
"504","RT @Meixia18: Super happy to present this work ""Time-dependent switching of constitutional dynamic libraries and networks. It bear relation…",FALSE,0,NA,2020-05-18 12:10:40,FALSE,NA,"1262354919421546496",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ShaofeiZ",2,TRUE,FALSE,NA,NA
"505","RT @Liverpool_SSP: #ACTIVE | join the #LSSP #HomeOlympics 

Todays Activity:

Back Support 1/3

Keep those positive mental attitudes going!…",FALSE,0,NA,2020-05-18 12:05:58,FALSE,NA,"1262353734694252545",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MabLanePE",5,TRUE,FALSE,NA,NA
"506","RT @NinaKostina2: I am happy to share our @CREmmeneggerLab recent research on how spontaneous curvature induces the morphogenesis of dendri…",FALSE,0,NA,2020-05-18 11:48:36,FALSE,NA,"1262349362908352513",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","llSaheliMitrall",2,TRUE,FALSE,NA,NA
"507","RT @sri50: #COVID19 #India, May 18 

#COVID19 cases Nearing 1 LAKH !

 #COVID19 death toll crosses 3000!

 #COVID19 Cases        96,169

#A…",FALSE,0,NA,2020-05-18 11:30:50,FALSE,NA,"1262344895324274688",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","karthidrider",20,TRUE,FALSE,NA,NA
"508","X-Small tee 600/-
Small Pants 700/-
•
•
Mpesa Till 738432
Delivery charges apply
0796548935
||Shop7 2nd floor Bihi… https://t.co/sQENrmvtBg",FALSE,0,NA,2020-05-18 11:28:30,TRUE,NA,"1262344304468557824",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","fitnfabworld",0,FALSE,FALSE,NA,NA
"509","Support me link :: https://t.co/RmcIfGazgd

Check my latest work on pixabay:https://t.co/yWTLy32TGo

#kung #fu,… https://t.co/3IigCdDOPH",FALSE,0,NA,2020-05-18 11:25:11,TRUE,NA,"1262343470548766721",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Mohamed83286152",0,FALSE,FALSE,NA,NA
"510","BENEFITS OF WATERMELON.

FOLLOW @biocity_healthcare

#health #fitness #fitnessmodel #fitnessaddict  #workout… https://t.co/Cc90cEzyQK",FALSE,1,NA,2020-05-18 11:20:39,TRUE,NA,"1262342330889261056",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","biocity_care",0,FALSE,FALSE,NA,NA
"511","Win a Samsung Galaxy Watch Active Smartwatch courtesy of @farfromrefuge #giveaway #farfromrefuge #samsung… https://t.co/nMuPLwhCmc",FALSE,0,NA,2020-05-18 11:20:01,TRUE,NA,"1262342172067524610",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Pudding27431902",0,FALSE,FALSE,NA,NA
"512","3/3

Please get in touch for further information, our qualified mental health coaches and/or sports practitioners w… https://t.co/vNoEcmPDOe",FALSE,0,"YorkshireSport3",2020-05-18 11:15:06,TRUE,"1262340805735395329","1262340932353036291","1135906846990929920","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","YorkshireSport3",0,FALSE,FALSE,NA,NA
"513","#mondaymotivation... Good Morning Houston..#fitcityhouston wishing toy a very #active and #healthy day ahead <f0><U+009F><U+0091><U+008D>… https://t.co/U05x8ohb4m",FALSE,0,NA,2020-05-18 11:01:59,TRUE,NA,"1262337632836751361",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","fitcityclub",0,FALSE,FALSE,NA,NA
"514","For #MentalHealthAwarenessWeek we've got some simple ways to keep your smile bright, your #mind #positive and your… https://t.co/MDMW24zcIY",FALSE,2,NA,2020-05-18 11:00:02,TRUE,NA,"1262337143327862785",NA,"<a href=""http://www.falcon.io"" rel=""nofollow"">Falcon Social Media Management </a>","McCarthyStone",2,FALSE,FALSE,NA,NA
"515","RT @ArdAcadChem: @stmmsciencetech @StMargaretM_PE Seeing this route has brought back very happy memories. I used to work at the Ciba / BASF…",FALSE,0,NA,2020-05-18 10:35:43,FALSE,NA,"1262331024928800769",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ardacadmaths",1,TRUE,FALSE,NA,NA
